Source,Target,Type,Id,Label,timeset,Weight,a,tender_indicator_integrity_single_bid,tender_indicator_integrity_call_for_tender_publication,tender_indicator_integrity_advertisement_period,tender_indicator_integrity_procedure_type,tender_indicator_integrity_decision_period,tender_indicator_integrity_tax_haven,tender_indicator_integrity_new_company,tender_indicator_administrative_centralized_procurement,tender_indicator_administrative_electronic_auction,tender_indicator_administrative_covered_by_gpa,tender_indicator_administrative_framework_agreement,tender_indicator_administrative_english_as_foreign_language,tender_indicator_administrative_notice_and_award_discrepancies,tender_indicator_transparency_number_of_key_missing_fields,mean_cri,cri_cat
EU_body_026ed70cec9bb2268905cfd2077849976c753e5f9be05b7c4df2a5f55b06b19c,EU_body_94f5a9a33363c974df5fe37d43dcf0fac8f00ba65fae1f17acd47646db30a245,Undirected,49297,,,1,49482,100,100,100,100,NA,100,NA,NA,0,0,0,0,76.9231,NA,57.69231,high
EU_body_026ed70cec9bb2268905cfd2077849976c753e5f9be05b7c4df2a5f55b06b19c,EU_body_2cbbaa099deae7f8b7d94418ab60c5c32b2624b30b954b3f7505154ee0ee8681,Undirected,49296,,,1,49481,100,100,100,100,NA,100,NA,NA,0,0,0,0,76.9231,NA,57.69231,high
EU_body_afed4ff9888fe6055b760c2749a6bb25bdcb1294eb249a65eace0de146a659fb,EU_body_2cbbaa099deae7f8b7d94418ab60c5c32b2624b30b954b3f7505154ee0ee8681,Undirected,194716,,,1,195734,100,100,100,100,NA,100,NA,NA,100,0,0,0,83.3333,NA,68.33333,high
EU_body_8dc0561e341d870e50813bb204431ea73e82ef8873d43e44b43be3df26189ccb,EU_body_2cbbaa099deae7f8b7d94418ab60c5c32b2624b30b954b3f7505154ee0ee8681,Undirected,145027,,,1,145611,100,100,100,100,NA,NA,NA,NA,100,0,0,100,83.3333,NA,75.925922,high
EU_body_bdf51c128037b2e3e420bf84d12b68f9cd6fe096a8569acbc07684b0503f173e,EU_body_48cdff3642c1b7e11bc1207e269f93634f26685c86dbdb4bc7c8869c96600d3c,Undirected,194649,,,1,195659,0,0,100,0,0,100,NA,NA,0,0,0,,,NA,22.222222,low
EU_body_bdf51c128037b2e3e420bf84d12b68f9cd6fe096a8569acbc07684b0503f173e,EU_body_893de8c763be0946fcb2c00e58db70d368b932b51a1c5035470ab20bd551178e,Undirected,146106,,,1,146813,0,0,100,0,0,100,NA,NA,0,100,0,,,NA,33.333333,low
EU_body_bdf51c128037b2e3e420bf84d12b68f9cd6fe096a8569acbc07684b0503f173e,EU_body_4db1cb906fdda42ffef27eb56d5c23c876be96fbd2c84c49f430762878c6fc41,Undirected,146023,,,2,195820,0,0,100,0,0,100,NA,NA,0,0,0,0,83.3333,NA,22.222222,low
EU_body_bdf51c128037b2e3e420bf84d12b68f9cd6fe096a8569acbc07684b0503f173e,EU_body_76403037e4c2c58df5e7b91508fe352fdeb6708d18a04841459e1bae6fbbd7d3,Undirected,96609,,,1,96996,0,0,100,0,0,NA,NA,NA,0,0,0,,,NA,12.5,low
EU_body_bdf51c128037b2e3e420bf84d12b68f9cd6fe096a8569acbc07684b0503f173e,EU_body_0db8b24030e2d3fc935f84a6e7c8b0190195c3e28d1ed4bfedde7b1d7d8d0ab6,Undirected,49301,,,1,49486,100,100,100,100,NA,100,NA,NA,0,100,0,0,83.3333,NA,68.33333,high
EU_body_bdf51c128037b2e3e420bf84d12b68f9cd6fe096a8569acbc07684b0503f173e,EU_body_7264c588af5c6779a6098b48a0e4e59a32e85e4df89e811e9885e124f8927a11,Undirected,49300,,,1,49485,100,100,100,100,NA,100,NA,NA,0,100,0,0,83.3333,NA,68.33333,high
EU_body_560c0c34425a203655a0646d6808a6532ae8476a36710a5dd606cdb618d4bdb9,EU_body_12a7222d03580e2b99bc731a862476e6ed09fb6f21361f4b018c32a96db355d9,Undirected,145651,,,1,146242,0,100,100,100,NA,100,NA,NA,100,0,0,0,83.3333,NA,58.33333,high
EU_body_560c0c34425a203655a0646d6808a6532ae8476a36710a5dd606cdb618d4bdb9,EU_body_d76a373f91aba6e714a50fed3d06210d152d29f230f5d732b58581a1f6a60c17,Undirected,49313,,,1,49498,100,100,100,100,NA,100,NA,NA,0,0,0,0,64.2857,NA,56.42857,high
EU_body_dcc976953f2f4a2dbce0fc5aaede8bee75f1dba23314e01162d35f7bca35494c,EU_body_d76a373f91aba6e714a50fed3d06210d152d29f230f5d732b58581a1f6a60c17,Undirected,194356,,,1,195317,0,100,100,100,NA,NA,NA,NA,100,0,0,0,83.3333,NA,53.7037,high
EU_body_a4731b51dbaeb383bb4420b99cb82cb5f5366dcd9ad10205d51ef6fbcb69bb14,EU_body_d1eddf18d768022f895cade4b104952b01c1288f9fef97a939640771f4780790,Undirected,146057,,,1,146723,100,100,100,100,NA,100,NA,NA,0,0,0,0,83.3333,NA,58.33333,high
EU_body_a4731b51dbaeb383bb4420b99cb82cb5f5366dcd9ad10205d51ef6fbcb69bb14,EU_body_cf8e5ff5a723defefd07f25c7ee65086c99f8e9ea3c72e873a45334f6bb36cfc,Undirected,146055,,,1,146721,100,100,100,100,NA,100,NA,NA,0,0,0,0,83.3333,NA,58.33333,high
EU_body_a4731b51dbaeb383bb4420b99cb82cb5f5366dcd9ad10205d51ef6fbcb69bb14,EU_body_ebdf9261bdc1f1f562a3cd668388e69a59831ea57e67adfc6008c57b96111af4,Undirected,146054,,,1,146720,100,100,100,100,NA,100,NA,NA,0,0,0,0,83.3333,NA,58.33333,high
EU_body_a4731b51dbaeb383bb4420b99cb82cb5f5366dcd9ad10205d51ef6fbcb69bb14,EU_body_4d1c8d8343827cf196190e939c2bb4a3ac9d7d48453cd8ddf77c0867019b8b64,Undirected,145914,,,1,146557,0,100,100,100,NA,100,NA,NA,0,0,100,0,83.3333,NA,58.33333,high
EU_body_a4731b51dbaeb383bb4420b99cb82cb5f5366dcd9ad10205d51ef6fbcb69bb14,EU_body_48355146389f3fb013a28dbbfb02e5156806ed3d71135d974282ea8f7ec0f05d,Undirected,97622,,,1,98065,100,100,100,100,NA,100,NA,NA,0,0,0,0,83.3333,NA,58.33333,high
EU_body_a4731b51dbaeb383bb4420b99cb82cb5f5366dcd9ad10205d51ef6fbcb69bb14,EU_body_270dab94ad70ea5870fcbc9d92a30fcf2c200d0cdef5bcd31af3c2198854afa0,Undirected,97621,,,2,146722,100,100,100,100,NA,100,NA,NA,0,0,0,0,83.3333,NA,58.33333,high
EU_body_a4731b51dbaeb383bb4420b99cb82cb5f5366dcd9ad10205d51ef6fbcb69bb14,EU_body_b87e1830bcbe9d672d1b7d7da5d6212ef15abb066f6f7ba90826c775fcd246d0,Undirected,50046,,,1,50366,0,100,100,100,NA,100,NA,NA,0,0,100,0,83.3333,NA,58.33333,high
EU_body_a4731b51dbaeb383bb4420b99cb82cb5f5366dcd9ad10205d51ef6fbcb69bb14,EU_body_5a4cbe9a3ebf7f09b8fa9570256823c0f2b3381fb5c9e165c3d1bae4fbe4a3c6,Undirected,49328,,,1,49513,0,100,100,100,NA,100,NA,NA,0,0,100,0,83.3333,NA,58.33333,high
EU_body_13775cdca4e4a26db4f7d63b6c988cc5d35ee153fad1b6ed2406a4e04d2d16ee,EU_body_9710af52802f6dc7f9260d307e111b34f7dfd663dda403fa6d951c2f0ba8f8fe,Undirected,194335,,,1,195278,0,0,100,0,0,100,NA,NA,0,0,0,,,NA,22.222222,low
EU_body_9a49525bd55eeb135fd26bf6e35a2934fc4eb6b305592e02a0759c799942daf1,EU_body_8ccf1d517a9893e0f359f5cd0d63ca613b76ac7b2e6ef617998cb80be86a4854,Undirected,97909,,,1,98390,100,100,100,100,NA,100,NA,NA,0,0,0,0,71.4286,NA,57.14286,high
EU_body_9a49525bd55eeb135fd26bf6e35a2934fc4eb6b305592e02a0759c799942daf1,EU_body_378d5410b715683a0c418b8b78e5f828044a91bd55ef33b34388aec3d8c2fff6,Undirected,97683,,,1,98130,100,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,59.16667,high
EU_body_9a49525bd55eeb135fd26bf6e35a2934fc4eb6b305592e02a0759c799942daf1,EU_body_3f2e164630306acaa658195ef95480b6a807980434db5beb130ebfa7e9efbacd,Undirected,97682,,,1,98129,100,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,59.16667,high
EU_body_9a49525bd55eeb135fd26bf6e35a2934fc4eb6b305592e02a0759c799942daf1,EU_body_94b0a733abef6290ac7d7a55198105187c463034c1e18f87c26c812e0610f27d,Undirected,97681,,,1,98128,100,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,59.16667,high
EU_body_9a49525bd55eeb135fd26bf6e35a2934fc4eb6b305592e02a0759c799942daf1,EU_body_bff43c8801a073dd7d72ac62721ba54be660d9220eac8788f938bb91ec4093b9,Undirected,97680,,,1,98127,100,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,59.16667,high
EU_body_9a49525bd55eeb135fd26bf6e35a2934fc4eb6b305592e02a0759c799942daf1,EU_body_d25de1aba1b33aaf5e2a015c69b6c5bb7fc3a50de83b3b283b5fe436f3c5e8a3,Undirected,97679,,,1,98126,100,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,59.16667,high
